CCAA,fecha,casos,nuevos,incr %,IA,Hospitalizados,HospitalizadosNuevos,UCI,UCINuevos,muertes,muertesNuevos,curados,curadosNuevos
Andalucía,29.04.2020,12004,91,0.8,18.75,5832,39,722,1,1188,20,5272,233
Aragón,29.04.2020,5042,38,0.8,53.36,2454,29,258,0,736,1,2189,108
Asturias,29.04.2020,2266,11,0.5,25.32,1886,43,137,0,266,5,809,29
Baleares,29.04.2020,1879,9,0.5,23.75,1079,5,166,0,185,4,1196,30
Canarias,29.04.2020,2202,15,0.7,10.54,906,6,176,2,134,1,1107,32
Cantabria,29.04.2020,2146,31,1.5,72.97,1006,6,79,1,191,3,1372,82
CastillaLaMancha,29.04.2020,15785,79,0.5,154.56,8523,59,588,4,2436,40,5382,76
CastillayLeón,29.04.2020,16690,101,0.6,165.45,7854,77,524,2,1736,26,6448,125
Cataluña,29.04.2020,48654,496,1.0,158.29,26546,316,2768,18,4905,97,19060,741
Ceuta,29.04.2020,101,1,1.0,12.98,10,0,4,0,4,0,114,4
CValenciana,29.04.2020,10236,32,0.3,20.88,5072,26,662,3,1218,18,6599,176
Extremadura,29.04.2020,2764,13,0.5,28.28,1526,21,108,0,440,7,1797,64
Galicia,29.04.2020,9466,138,1.5,65.12,2736,,308,,547,7,5393,3552
Madrid,29.04.2020,60765,981,1.6,168.67,39850,216,3355,17,8105,57,36314,473
Melilla,29.04.2020,114,0,0.0,13.87,44,0,3,0,2,0,95,3
Murcia,29.04.2020,1480,5,0.3,9.04,635,6,106,0,130,0,1153,40
Navarra,29.04.2020,4794,35,0.7,115.41,1951,6,130,0,448,16,2082,104
PaísVasco,29.04.2020,12619,55,0.4,97.07,6522,40,540,1,1274,19,10474,500
LaRioja,29.04.2020,3910,13,0.3,142.99,1413,13,87,0,330,4,2091,27
