CCAA,fecha,casos,nuevos,incr %,IA,Hospitalizados,HospitalizadosNuevos,UCI,UCINuevos,muertes,muertesNuevos,curados,curadosNuevos
Andalucía,04.05.2020,12194,19,0.16,14.24,5973,12,738,2,1263,7,7021,124
Aragón,04.05.2020,5188,24,0.46,40.48,2526,7,260,0,762,1,2624,66
Asturias,04.05.2020,2306,1,0.04,12.22,2014,19,142,0,284,4,917,9
Baleares,04.05.2020,1908,0,0.00,13.83,1102,3,167,0,197,0,1294,10
Canarias,04.05.2020,2225,4,0.18,7.34,919,0,175,0,141,1,1166,16
Cantabria,04.05.2020,2206,1,0.05,40.10,1011,1,79,0,197,2,1610,
CastillaLaMancha,04.05.2020,16050,33,0.21,65.18,8698,22,606,2,2590,25,5794,22
CastillayLeón,04.05.2020,17334,51,0.30,106.40,8123,38,534,1,1818,18,6900,44
Cataluña,04.05.2020,50366,132,0.26,113.22,27321,64,2847,3,5220,35,21898,1566
Ceuta,04.05.2020,101,0,0.00,9.44,10,0,4,0,4,0,142,1
CValenciana,04.05.2020,10436,0,0.00,14.55,5204,23,700,2,1269,5,7506,59
Extremadura,04.05.2020,2849,5,0.18,14.70,1618,15,108,0,460,0,2090,18
Galicia,04.05.2020,9011,44,0.49,55.68,2782,8,315,0,569,6,6234,159
Madrid,04.05.2020,62395,1,0.00,69.23,40741,144,3431,10,8376,44,37808,104
Melilla,04.05.2020,119,2,1.71,17.34,44,0,3,0,2,0,101,3
Murcia,04.05.2020,1492,0,0.00,3.48,645,4,110,0,134,0,1277,17
Navarra,04.05.2020,4918,16,0.33,71.69,1990,4,133,0,466,4,2494,83
PaísVasco,04.05.2020,12952,14,0.11,52.68,6719,27,554,1,1341,12,12155,131
LaRioja,04.05.2020,3961,9,0.23,93.75,1449,3,88,0,335,0,2312,15
