CCAA,fecha,casos,nuevos,IA,Hospitalizados,HospitalizadosNuevos,UCI,UCINuevos,muertes,muertesNuevos,curados,curadosNuevos,PCR,testrap,postestrap,posTOTAL
Andalucía,19.04.2020,11205,185,34.51,5424,83,687,10,993,26,3116,168,10936,269,220,11425
Aragón,19.04.2020,4831,70,121.20,2216,36,246,3,619,18,1175,54,4608,223,,4831
Asturias,19.04.2020,2298,26,67.76,1571,51,120,1,196,9,596,21,2172,126,,2298
Baleares,19.04.2020,1773,25,41.76,955,18,160,3,155,7,993,35,1740,33,,1773
Canarias,19.04.2020,2047,12,19.74,825,3,162,2,119,4,789,4,2047,,,2047
Cantabria,19.04.2020,2050,60,104.81,924,13,78,0,153,4,610,76,1949,101,,2050
CastillaLaMancha,19.04.2020,16625,276,324.37,8137,44,518,4,1963,50,3963,125,14588,2037,,16625
CastillayLeón,19.04.2020,15621,328,286.39,6981,150,498,3,1458,29,5262,159,14644,977,,15621
Cataluña,19.04.2020,40600,657,189.81,22235,222,2395,46,3933,54,13691,416,40448,152,,40600
Ceuta,19.04.2020,109,1,30.67,9,0,4,0,4,0,59,6,101,8,4,113
CValenciana,19.04.2020,9937,142,55.02,4781,73,643,7,1065,23,4547,241,9657,280,313,10250
Extremadura,19.04.2020,3136,55,101.99,1278,38,112,0,384,4,767,31,2673,463,56,3192
Galicia,19.04.2020,8185,101,83.02,2590,36,112,,346,12,,,8185,,,8185
Madrid,19.04.2020,54884,1938,259.63,8291,,1123,,7239,107,31313,838,53670,1214,1261,56145
Melilla,19.04.2020,104,0,24.28,44,0,3,0,2,0,44,14,104,,3,107
Murcia,19.04.2020,1644,6,27.38,612,1,102,0,116,1,652,14,1438,206,9,1653
Navarra,19.04.2020,4621,65,236.62,1843,14,127,0,369,15,992,38,4413,208,35,4656
PaísVasco,19.04.2020,12569,214,178.51,6086,56,499,9,1062,42,6972,416,11570,999,,12569
LaRioja,19.04.2020,3705,57,351.33,1268,19,79,1,277,5,1816,39,3636,69,625,4330
