CCAA,fecha,casos,nuevos,incr %,IA,Hospitalizados,HospitalizadosNuevos,UCI,UCINuevos,muertes,muertesNuevos,curados,curadosNuevos
Andalucía,27.04.2020,11852,78,0.7,20.88,5768,20,720,4,1.157,12,4.890,149
Aragón,27.04.2020,4985,30,0.6,60.49,2.403,8,257,0,726,14,2.010,50
Asturias,27.04.2020,2254,5,0.2,28.94,1.814,24,137,3,253,4,759,10
Baleares,27.04.2020,1859,5,0.3,26.88,1.062,0,166,0,179,4,1.136,13
Canarias,27.04.2020,2178,11,0.5,10.87,881,1,171,0,131,0,1.047,
Cantabria,27.04.2020,2104,21,1.0,56.27,995,4,78,0,186,3,1.241,114
CastillaLaMancha,27.04.2020,15664,55,0.4,79.20,8.444,27,579,14,2365,35,5282,86
CastillayLeón,27.04.2020,16404,182,1.1,157.36,7703,50,518,3,1690,24,6272,64
Cataluña,27.04.2020,47755,944,2.0,169.75,25799,134,2724,141,4699,133,17897,891
Ceuta,27.04.2020,100,0,0.0,5.90,10,0,4,0,4,0,107,3
CValenciana,27.04.2020,10180,20,0.2,22.38,5032,19,656,2,1189,3,6317,74
Extremadura,27.04.2020,2749,13,0.5,8.52,1490,10,108,0,428,6,1652,70
Galicia,27.04.2020,9238,62,0.7,64.60,2746,11,83,,405,11,1816,13
Madrid,27.04.2020,59421,295,0.5,184.22,39472,,3309,,7986,64,35565,198
Melilla,27.04.2020,110,0,0.0,10.41,44,0,3,0,2,0,87,6
Murcia,27.04.2020,1474,0,0.0,0.74,627,0,106,0,128,1,990,70
Navarra,27.04.2020,4733,21,0.4,97.98,1942,0,130,1,432,1,1918,83
PaísVasco,27.04.2020,12513,58,0.5,67.72,6457,31,538,5,1241,11,9840,238
LaRioja,27.04.2020,3892,31,0.8,168.56,1392,12,85,1,320,5,2049,12
