CCAA,fecha,casos,nuevos,IA,Hospitalizados,HospitalizadosNuevos,UCI,UCINuevos,muertes,muertesNuevos,curados,curadosNuevos,PCR,testrap,postestrap,posTOTAL
Andalucía,23.04.2020,11845,235,30.71,5616,51,702,6,1079,29,3847,278,11403,442,392,12237
Aragón,23.04.2020,5237,183,117.64,2340,36,253,1,681,25,1680,150,4833,404,0,5237
Asturias,23.04.2020,2453,34,70.00,1705,40,130,2,223,12,665,23,2229,224,0,2453
Baleares,23.04.2020,1861,25,35.93,1022,17,167,1,168,4,1047,30,1807,54,0,1861
Canarias,23.04.2020,2113,19,12.96,855,14,169,5,121,0,969,42,2113,0,0,2113
Cantabria,23.04.2020,2206,46,101.02,965,9,78,0,173,6,850,132,2023,183,0,2206
CastillaLaMancha,23.04.2020,17557,236,249.30,8304,61,546,9,2188,48,4577,240,15128,2429,0,17557
CastillayLeón,23.04.2020,17402,563,286.89,7397,133,508,3,1582,28,5777,163,15510,1892,0,17402
Cataluña,23.04.2020,44892,1090,180.44,23647,352,2478,18,4343,96,15477,388,44892,0,0,44892
Ceuta,23.04.2020,118,0,40.11,9,0,4,0,4,0,76,0,100,18,6,124
CValenciana,23.04.2020,10692,154,54.52,4917,21,650,1,1124,18,5388,377,9869,823,43,10735
Extremadura,23.04.2020,3260,30,92.44,1375,26,113,1,407,3,1237,186,2715,545,106,3366
Galicia,23.04.2020,8805,171,75.83,2694,20,92,,375,7,1676,51,0,0,0,8805
Madrid,23.04.2020,60487,1288,249.27,7077,,981,,7684,107,33645,613,57094,3393,0,60487
Melilla,23.04.2020,106,1,15.03,44,0,3,0,2,0,55,5,106,0,7,113
Murcia,23.04.2020,1721,26,24.43,624,2,104,0,124,1,766,5,1460,261,0,1721
Navarra,23.04.2020,4994,95,216.90,1907,13,129,1,409,8,1445,129,4577,417,69,5063
PaísVasco,23.04.2020,13436,392,164.42,6260,59,516,3,1167,43,8136,485,11789,1647,0,13436
LaRioja,23.04.2020,3839,47,256.63,1331,13,82,1,303,5,1937,38,3741,98,888,4727
