CCAA,fecha,casos,nuevos,IA,Hospitalizados,HospitalizadosNuevos,UCI,UCINuevos,muertes,muertesNuevos,curados,curadosNuevos,PCR,testrap,postestrap,posTOTAL
Andalucía,20.04.2020,11323,118,32.59,5473,49,690,3,1013,20,3229,113,11030,293,232,11555
Aragón,20.04.2020,4886,55,116.65,2244,28,248,2,637,18,1178,3,4654,232,,4886
Asturias,20.04.2020,2348,50,68.64,1599,28,122,2,200,4,599,3,2181,167,,2348
Baleares,20.04.2020,1788,15,40.71,963,8,161,1,157,2,1005,12,1749,39,,1788
Canarias,20.04.2020,2067,20,19.41,826,1,163,1,119,0,813,24,2067,0,,2067
Cantabria,20.04.2020,2083,33,103.26,934,10,78,0,158,5,626,16,1973,110,,2083
CastillaLaMancha,20.04.2020,16796,171,304.69,8173,36,531,13,2021,58,4178,215,14725,2071,,16796
CastillayLeón,20.04.2020,15857,236,280.93,7080,99,501,3,1493,35,5366,104,14781,1076,,15857
Cataluña,20.04.2020,41676,1076,193.51,22375,140,2409,14,4009,76,13934,243,41676,0,,41676
Ceuta,20.04.2020,111,2,33.03,9,0,4,0,4,0,74,15,101,10,4,115
CValenciana,20.04.2020,10018,81,53.64,4827,46,646,3,1079,14,4629,82,9708,310,321,10339
Extremadura,20.04.2020,3186,50,104.71,1306,28,112,0,389,5,858,91,2692,494,57,3243
Galicia,20.04.2020,8299,114,79.57,2609,19,108,,352,6,1548,12,8299,0,,8299
Madrid,20.04.2020,56963,2079,252.95,8191,,1111,,7351,112,31762,449,54300,2663,,56963
Melilla,20.04.2020,104,0,20.81,44,0,3,0,2,0,46,2,104,0,5,109
Murcia,20.04.2020,1646,2,25.91,612,0,103,1,117,1,662,10,1440,206,13,1659
Navarra,20.04.2020,4697,76,224.09,1856,13,128,1,385,16,1123,131,4449,248,38,4735
PaísVasco,20.04.2020,12628,59,172.93,6109,23,501,2,1081,19,7124,152,11571,1057,,12628
LaRioja,20.04.2020,3734,29,320.39,1282,14,79,0,285,8,1833,17,3664,70,637,4371
