CCAA,fecha,casos,nuevos,incr %,IA,Hospitalizados,HospitalizadosNuevos,UCI,UCINuevos,muertes,muertesNuevos
Andalucía,17.05.2020,12450,30,0.24,3.70,6174,13,760,2,1358,3
Aragón,17.05.2020,5478,22,0.40,23.80,2655,7,266,0,838,0
Asturias,17.05.2020,2366,0,0.00,5.28,2311,21,153,1,315,2
Baleares,17.05.2020,1991,9,0.45,7.39,1136,2,170,1,218,2
Canarias,17.05.2020,2289,5,0.22,3.16,939,0,178,0,151,0
Cantabria,17.05.2020,2268,3,0.13,10.84,1033,1,79,0,207,1
CastillaLaMancha,17.05.2020,16618,31,0.19,29.56,9054,27,637,1,2893,10
CastillayLeón,17.05.2020,18470,101,0.55,49.47,8690,41,550,1,1946,6
Cataluña,17.05.2020,55824,116,0.21,37.16,29449,110,3062,13,5944,29
Ceuta,17.05.2020,116,0,0.00,17.69,11,0,4,0,4,0
CValenciana,17.05.2020,10893,43,0.40,9.13,5454,19,723,1,1366,1
Extremadura,17.05.2020,2947,3,0.10,9.65,1775,3,110,1,500,3
Galicia,17.05.2020,9051,10,0.11,7.93,2926,3,332,0,606,2
Madrid,17.05.2020,66338,6,0.01,38.18,42227,70,3584,7,8847,21
Melilla,17.05.2020,121,2,1.68,4.62,44,0,3,0,2,0
Murcia,17.05.2020,1551,9,0.58,3.95,676,0,112,0,144,0
Navarra,17.05.2020,5148,11,0.21,37.60,2045,0,136,0,503,2
PaísVasco,17.05.2020,13407,16,0.12,16.71,7015,4,578,0,1459,4
LaRioja,17.05.2020,4024,4,0.10,22.73,1496,6,91,0,349,1
