CCAA,fecha,casos,nuevos,IA,Hospitalizados,HospitalizadosNuevos,UCI,UCINuevos,muertes,muertesNuevos,curados,curadosNuevos,PCR,testrap,postestrap,posTOTAL
Andalucía,22.04.2020,11610,163,31.05,5565,56,696,4,1050,33,3569,158,11270,340,311,11921
Aragón,22.04.2020,5054,116,114.08,2304,33,252,2,656,13,1530,348,4761,293,,5054
Asturias,22.04.2020,2419,54,69.81,1665,39,128,6,211,9,642,26,2218,201,,2419
Baleares,22.04.2020,1836,28,36.89,1005,19,166,5,164,3,1017,12,1788,48,,1836
Canarias,22.04.2020,2094,9,15.42,841,4,164,0,121,1,927,49,2094,0,,2094
Cantabria,22.04.2020,2160,37,101.19,956,8,78,0,167,2,718,72,2012,148,,2160
CastillaLaMancha,22.04.2020,17321,276,272.18,8243,44,537,3,2140,65,4337,95,15053,2268,,17321
CastillayLeón,22.04.2020,16839,580,282.59,7264,90,505,2,1554,33,5614,185,15141,1698,,16839
Cataluña,22.04.2020,43802,690,184.42,23295,499,2460,23,4247,95,15089,643,43802,0,,43802
Ceuta,22.04.2020,118,7,40.11,9,0,4,0,4,0,76,3,100,18,6,124
CValenciana,22.04.2020,10538,454,57.62,4896,30,649,1,1106,17,5011,292,9825,713,33,10571
Extremadura,22.04.2020,3230,34,97.97,1349,22,112,0,404,7,1051,130,2692,465,86,3316
Galicia,22.04.2020,8634,166,77.64,2674,22,96,,368,8,1625,37,,,,8634
Madrid,22.04.2020,59199,1202,251.36,7464,,1024,,7577,117,33032,755,56245,2954,,59199
Melilla,22.04.2020,105,0,13.87,44,0,3,0,2,0,50,4,105,0,6,111
Murcia,22.04.2020,1695,14,24.70,622,8,104,0,123,3,761,59,1455,240,22,1717
Navarra,22.04.2020,4899,118,218.89,1894,17,128,0,401,4,1316,126,4531,368,59,4958
PaísVasco,22.04.2020,13044,234,162.70,6201,60,513,6,1124,21,7651,374,11712,1332,,13044
LaRioja,22.04.2020,3792,29,265.47,1318,21,81,0,298,4,1899,33,3704,88,794,4586
