CCAA,fecha,casos,nuevos,IA,Hospitalizados,HospitalizadosNuevos,UCI,UCINuevos,muertes,muertesNuevos,curados,curadosNuevos,PCR,testrap,postestrap,posTOTAL
Andalucía,18.04.2020,11020,107,43.72,5341,43,677,2,967,27,2948,158,10772,248,184,11204
Aragón,18.04.2020,4761,97,134.54,2180,29,243,3,601,39,1121,,4551,210,,4761
Asturias,18.04.2020,2272,42,77.92,1520,46,119,1,187,13,575,30,2153,119,,2272
Baleares,18.04.2020,1748,80,35.76,937,32,157,5,148,14,958,20,1724,24,,1748
Canarias,18.04.2020,2035,26,24.10,822,11,160,1,115,4,785,55,2035,,,2035
Cantabria,18.04.2020,1990,106,96.89,911,8,78,0,149,5,534,24,,,,1990
CastillaLaMancha,18.04.2020,16349,352,367.66,8093,75,514,3,1913,61,3838,238,,,,16349
CastillayLeón,18.04.2020,15293,390,292.89,6831,313,495,,1429,28,5103,179,,,,15293
Cataluña,18.04.2020,39943,1627,193.56,22013,771,2349,44,3879,127,13275,488,,152,,39943
Ceuta,18.04.2020,108,7,46.00,9,0,4,0,4,0,53,9,101,7,4,112
CValenciana,18.04.2020,9795,76,64.85,4708,103,636,4,1042,43,4306,282,9584,211,322,10117
Extremadura,18.04.2020,3081,62,105.46,1240,28,112,2,380,8,736,29,2663,418,50,3131
Galicia,18.04.2020,8084,71,103.50,2554,19,115,,334,14,0,0,8084,,,8084
Madrid,18.04.2020,52946,953,267.21,8597,,1094,,7132,125,30475,1039,52946,,,52946
Melilla,18.04.2020,104,0,39.31,44,0,3,0,2,0,30,0,104,,,104
Murcia,18.04.2020,1638,13,32.13,611,26,102,3,115,3,638,93,1430,208,9,1647
Navarra,18.04.2020,4556,123,244.11,1829,48,127,3,354,16,954,62,4349,207,23,4579
PaísVasco,18.04.2020,12355,266,193.04,6030,91,490,6,1020,28,6556,412,,,,12355
LaRioja,18.04.2020,3648,101,591.54,1249,23,78,2,272,10,1777,48,3583,65,602,4250
