CCAA,fecha,casos,nuevos,incr %,IA,Hospitalizados,HospitalizadosNuevos,UCI,UCINuevos,muertes,muertesNuevos,curados,curadosNuevos
Andalucía,02.05.2020,12207,46,0.38,17.05,5962,26,735,6,1253,15,6821,487
Aragón,02.05.2020,5136,20,0.39,44.34,2503,9,260,0,761,12,2474,92
Asturias,02.05.2020,2303,5,0.22,14.67,1974,36,141,1,279,6,890,30
Baleares,02.05.2020,1902,8,0.42,15.49,1094,4,167,0,197,4,1268,23
Canarias,02.05.2020,2212,6,0.27,8.22,918,4,176,0,140,4,1149,0
Cantabria,02.05.2020,2201,17,0.78,53.69,1009,0,79,0,193,1,1551,42
CastillaLaMancha,02.05.2020,15967,57,0.36,81.41,8645,27,601,5,2534,36,5702,87
CastillayLeón,02.05.2020,17165,172,1.01,118.73,8054,44,531,0,1788,18,6813,127
Cataluña,02.05.2020,49850,543,1.10,129.08,27049,117,2811,16,5137,76,19913,273
Ceuta,02.05.2020,101,0,0.00,9.44,10,0,4,0,4,0,140,2
CValenciana,02.05.2020,10411,64,0.62,16.53,5153,27,695,1,1258,13,7287,209
Extremadura,02.05.2020,2824,13,0.46,15.08,1592,27,108,0,458,7,2017,57
Galicia,02.05.2020,8902,54,0.61,59.60,2769,10,313,0,557,2,5981,165
Madrid,02.05.2020,62073,25,0.04,75.88,40457,164,3404,12,8292,70,37530,376
Melilla,02.05.2020,115,0,0.00,12.72,44,0,3,0,2,0,96,0
Murcia,02.05.2020,1491,3,0.20,4.08,639,1,110,1,132,0,1251,22
Navarra,02.05.2020,4888,40,0.83,82.39,1979,2,132,0,460,2,2281,96
PaísVasco,02.05.2020,12887,63,0.49,60.42,6659,52,551,7,1321,9,11805,425
LaRioja,02.05.2020,3947,11,0.28,114.90,1439,6,88,0,334,1,2279,59
