CCAA,fecha,casos,nuevos,incr %,IA,Hospitalizados,HospitalizadosNuevos,UCI,UCINuevos,muertes,muertesNuevos,curados,curadosNuevos
Andalucía,26.04.2020,11774,71,0.6,21.01,5748,33,716,0,1145,14,4741,446
Aragón,26.04.2020,4955,33,0.7,67.08,2395,23,257,2,712,3,1960,31
Asturias,26.04.2020,2249,11,0.5,34.90,1790,30,134,2,249,10,749,33
Baleares,26.04.2020,1854,7,0.4,27.84,1062,4,166,0,175,1,1123,21
Canarias,26.04.2020,2167,12,0.6,11.56,880,2,171,0,131,1,1048,12
Cantabria,26.04.2020,2083,12,0.6,56.96,991,9,78,0,183,1,1127,81
CastillaLaMancha,26.04.2020,15609,100,0.6,94.01,8417,32,565,6,2330,38,5196,320
CastillayLeón,26.04.2020,16222,232,1.5,171.03,7653,98,515,4,1666,27,6208,175
Cataluña,26.04.2020,46811,550,1.2,166.56,25665,1245,2583,7,4566,68,17006,253
Ceuta,26.04.2020,100,0,0.0,8.26,10,0,4,0,4,0,104,6
CValenciana,26.04.2020,10160,94,0.9,26.36,5013,35,654,1,1186,14,6243,210
Extremadura,26.04.2020,2736,18,0.7,14.61,1480,33,108,1,422,6,1582,72
Galicia,26.04.2020,9176,60,0.7,68.16,2735,13,85,,394,6,1803,20
Madrid,26.04.2020,59126,307,0.5,188.18,5892,,873,,7922,74,35367,465
Melilla,26.04.2020,110,2,1.9,13.87,44,0,3,0,2,0,81,4
Murcia,26.04.2020,1474,6,0.4,1.67,627,2,106,1,127,1,920,78
Navarra,26.04.2020,4712,85,1.8,113.57,1942,5,129,0,431,2,1835,98
PaísVasco,26.04.2020,12455,89,0.7,76.23,6426,51,533,8,1230,18,9602,661
LaRioja,26.04.2020,3861,40,1.0,183.71,1380,20,84,1,315,4,2037,38
