CCAA,fecha,casos,nuevos,incr %,IA,Hospitalizados,HospitalizadosNuevos,UCI,UCINuevos,muertes,muertesNuevos,curados,curadosNuevos
Andalucía,30.04.2020,12048,44,0.4,17.30,5874,42,721,0,1207,19,5710,438
Aragón,30.04.2020,5091,49,1.0,51.54,2477,23,258,0,739,3,2291,102
Asturias,30.04.2020,2283,17,0.8,19.75,1915,29,137,0,273,7,835,26
Baleares,30.04.2020,1883,4,0.2,21.40,1082,3,167,1,188,3,1219,23
Canarias,30.04.2020,2205,3,0.1,10.08,909,3,176,0,135,1,1131,24
Cantabria,30.04.2020,2173,27,1.3,73.83,1007,1,79,0,191,0,1483,111
CastillaLaMancha,30.04.2020,15832,47,0.3,133.70,8567,44,592,4,2463,27,5512,130
CastillayLeón,30.04.2020,16885,195,1.2,145.11,7957,103,528,4,1752,16,6569,121
Cataluña,30.04.2020,48916,262,0.5,150.64,26763,217,2784,16,4975,70,19615,555
Ceuta,30.04.2020,101,0,0.0,12.98,10,0,4,0,4,0,126,12
CValenciana,30.04.2020,10331,95,0.9,18.97,5096,24,663,1,1236,18,6886,287
Extremadura,30.04.2020,2785,21,0.8,19.11,1550,24,108,1,446,6,1887,90
Galicia,30.04.2020,8697,22,0.3,59.83,2747,11,310,2,547,0,5573,180
Madrid,30.04.2020,61171,406,0.7,157.23,40076,226,3377,22,8176,71,36707,393
Melilla,30.04.2020,114,0,0.0,12.72,44,0,3,0,2,0,96,1
Murcia,30.04.2020,1486,6,0.4,4.22,637,2,108,2,130,0,1202,49
Navarra,30.04.2020,4815,21,0.4,103.02,1965,14,132,2,451,3,2113,31
PaísVasco,30.04.2020,12701,82,0.6,77.59,6561,39,541,1,1296,22,10936,462
LaRioja,30.04.2020,3918,8,0.2,119.63,1424,11,88,1,332,2,2159,68
