Comunidades,Edad (grupos quinquenales),Año,Total
CastillayLeón,70-74 años,2019,131130
CastillayLeón,75-79 años,2019,106169
CastillayLeón,80-84 años,2019,97563
CastillayLeón,85-89 años,2019,79246
CastillayLeón,90-94 años,2019,38593
CastillayLeón,95-99 años,2019,10798
CastillayLeón,100 años y más,2019,1590
CastillaLaMancha,0-4 años,2019,88801
CastillaLaMancha,5-9 años,2019,105523
CastillaLaMancha,10-14 años,2019,111133
CastillaLaMancha,15-19 años,2019,105089
CastillaLaMancha,20-24 años,2019,105543
CastillaLaMancha,25-29 años,2019,112243
CastillaLaMancha,30-34 años,2019,122740
CastillaLaMancha,35-39 años,2019,149130
CastillaLaMancha,40-44 años,2019,167640
CastillaLaMancha,45-49 años,2019,160661
CastillaLaMancha,50-54 años,2019,158295
CastillaLaMancha,55-59 años,2019,144431
CastillaLaMancha,60-64 años,2019,115151
CastillaLaMancha,65-69 años,2019,94801
CastillaLaMancha,70-74 años,2019,84473
CastillaLaMancha,75-79 años,2019,67614
CastillaLaMancha,80-84 años,2019,63093
CastillaLaMancha,85-89 años,2019,48974
CastillaLaMancha,90-94 años,2019,21626
CastillaLaMancha,95-99 años,2019,5179
CastillaLaMancha,100 años y más,2019,723
Cataluña,0-4 años,2019,348928
Cataluña,5-9 años,2019,402179
Cataluña,10-14 años,2019,421009
Cataluña,15-19 años,2019,386720
Cataluña,20-24 años,2019,381311
Cataluña,25-29 años,2019,428683
Cataluña,30-34 años,2019,476232
Cataluña,35-39 años,2019,579460
Cataluña,40-44 años,2019,676092
Cataluña,45-49 años,2019,623971
Cataluña,50-54 años,2019,569743
Cataluña,55-59 años,2019,499587
Cataluña,60-64 años,2019,438548
Cataluña,65-69 años,2019,383008
Cataluña,70-74 años,2019,350754
Cataluña,75-79 años,2019,252705
Cataluña,80-84 años,2019,213520
Cataluña,85-89 años,2019,155130
Cataluña,90-94 años,2019,68218
Cataluña,95-99 años,2019,17049
Cataluña,100 años y más,2019,2370
C.Valenciana,0-4 años,2019,213351
C.Valenciana,5-9 años,2019,252082
C.Valenciana,10-14 años,2019,273644
C.Valenciana,15-19 años,2019,250493
C.Valenciana,20-24 años,2019,244198
C.Valenciana,25-29 años,2019,263890
C.Valenciana,30-34 años,2019,294167
C.Valenciana,35-39 años,2019,369512
C.Valenciana,40-44 años,2019,433904
C.Valenciana,45-49 años,2019,408965
C.Valenciana,50-54 años,2019,388277
C.Valenciana,55-59 años,2019,348088
C.Valenciana,60-64 años,2019,299324
C.Valenciana,65-69 años,2019,264460
C.Valenciana,70-74 años,2019,240010
C.Valenciana,75-79 años,2019,179782
C.Valenciana,80-84 años,2019,140204
C.Valenciana,85-89 años,2019,92720
C.Valenciana,90-94 años,2019,37065
C.Valenciana,95-99 años,2019,8370
C.Valenciana,100 años y más,2019,1263
Extremadura,0-4 años,2019,42400
Extremadura,5-9 años,2019,49134
Extremadura,10-14 años,2019,53111
Extremadura,15-19 años,2019,53240
Extremadura,20-24 años,2019,55385
Extremadura,25-29 años,2019,60779
Extremadura,30-34 años,2019,64073
Extremadura,35-39 años,2019,72621
Extremadura,40-44 años,2019,79066
Extremadura,45-49 años,2019,81795
Extremadura,50-54 años,2019,86282
Extremadura,55-59 años,2019,82394
Extremadura,60-64 años,2019,66212
Extremadura,65-69 años,2019,54638
Extremadura,70-74 años,2019,50018
Extremadura,75-79 años,2019,39560
Extremadura,80-84 años,2019,36436
Extremadura,85-89 años,2019,26823
Extremadura,90-94 años,2019,10862
Extremadura,95-99 años,2019,2503
Extremadura,100 años y más,2019,378
Galicia,0-4 años,2019,95035
Galicia,5-9 años,2019,109879
Galicia,10-14 años,2019,115177
Galicia,15-19 años,2019,108562
Galicia,20-24 años,2019,108128
Galicia,25-29 años,2019,124766
Galicia,30-34 años,2019,145626
Galicia,35-39 años,2019,191318
Galicia,40-44 años,2019,226585
Galicia,45-49 años,2019,214645
Galicia,50-54 años,2019,206263
Galicia,55-59 años,2019,194856
Galicia,60-64 años,2019,178875
Galicia,65-69 años,2019,163937
Galicia,70-74 años,2019,157521
Galicia,75-79 años,2019,121760
Galicia,80-84 años,2019,109761
Galicia,85-89 años,2019,81028
Galicia,90-94 años,2019,34760
Galicia,95-99 años,2019,9306
Galicia,100 años y más,2019,1711
Madrid,0-4 años,2019,314163
Madrid,5-9 años,2019,349272
Madrid,10-14 años,2019,353692
Madrid,15-19 años,2019,328133
Madrid,20-24 años,2019,329980
Madrid,25-29 años,2019,385236
Madrid,30-34 años,2019,435538
Madrid,35-39 años,2019,519992
Madrid,40-44 años,2019,595961
Madrid,45-49 años,2019,554465
Madrid,50-54 años,2019,506467
Madrid,55-59 años,2019,439937
Madrid,60-64 años,2019,369519
Madrid,65-69 años,2019,316332
Madrid,70-74 años,2019,288864
Madrid,75-79 años,2019,210820
Madrid,80-84 años,2019,170462
Madrid,85-89 años,2019,122710
Madrid,90-94 años,2019,54970
Madrid,95-99 años,2019,14633
Madrid,100 años y más,2019,2248
Murcia,0-4 años,2019,78437
Murcia,5-9 años,2019,87412
Murcia,10-14 años,2019,91445
Murcia,15-19 años,2019,84361
Murcia,20-24 años,2019,81969
Murcia,25-29 años,2019,87879
Murcia,30-34 años,2019,94874
Murcia,35-39 años,2019,118597
Murcia,40-44 años,2019,130786
Murcia,45-49 años,2019,120188
Murcia,50-54 años,2019,112688
Murcia,55-59 años,2019,94969
Murcia,60-64 años,2019,76890
Murcia,65-69 años,2019,64088
Murcia,70-74 años,2019,57027
Murcia,75-79 años,2019,41454
Murcia,80-84 años,2019,35876
Murcia,85-89 años,2019,23525
Murcia,90-94 años,2019,9308
Murcia,95-99 años,2019,1907
Murcia,100 años y más,2019,218
Navarra,0-4 años,2019,30560
Navarra,5-9 años,2019,35183
Navarra,10-14 años,2019,35496
Navarra,15-19 años,2019,34147
Navarra,20-24 años,2019,33396
Navarra,25-29 años,2019,32905
Navarra,30-34 años,2019,36686
Navarra,35-39 años,2019,46299
Navarra,40-44 años,2019,54993
Navarra,45-49 años,2019,52703
Navarra,50-54 años,2019,49722
Navarra,55-59 años,2019,44915
Navarra,60-64 años,2019,38818
Navarra,65-69 años,2019,33526
Navarra,70-74 años,2019,30680
Navarra,75-79 años,2019,22818
Navarra,80-84 años,2019,18529
Navarra,85-89 años,2019,14237
Navarra,90-94 años,2019,6569
Navarra,95-99 años,2019,1788
Navarra,100 años y más,2019,244
PaísVasco,0-4 años,2019,90997
PaísVasco,5-9 años,2019,105874
PaísVasco,10-14 años,2019,107350
PaísVasco,15-19 años,2019,100789
PaísVasco,20-24 años,2019,94932
PaísVasco,25-29 años,2019,100711
PaísVasco,30-34 años,2019,118388
PaísVasco,35-39 años,2019,150177
PaísVasco,40-44 años,2019,183884
PaísVasco,45-49 años,2019,178073
PaísVasco,50-54 años,2019,173743
PaísVasco,55-59 años,2019,164424
PaísVasco,60-64 años,2019,146689
PaísVasco,65-69 años,2019,128301
PaísVasco,70-74 años,2019,118371
PaísVasco,75-79 años,2019,85862
PaísVasco,80-84 años,2019,73717
PaísVasco,85-89 años,2019,55132
PaísVasco,90-94 años,2019,23923
PaísVasco,95-99 años,2019,5720
PaísVasco,100 años y más,2019,719
LaRioja,0-4 años,2019,13589
LaRioja,5-9 años,2019,15890
LaRioja,10-14 años,2019,16457
LaRioja,15-19 años,2019,15151
LaRioja,20-24 años,2019,14724
LaRioja,25-29 años,2019,15359
LaRioja,30-34 años,2019,17637
LaRioja,35-39 años,2019,22538
LaRioja,40-44 años,2019,26966
LaRioja,45-49 años,2019,25352
LaRioja,50-54 años,2019,24122
LaRioja,55-59 años,2019,22939
LaRioja,60-64 años,2019,19825
LaRioja,65-69 años,2019,16704
LaRioja,70-74 años,2019,15141
LaRioja,75-79 años,2019,11749
LaRioja,80-84 años,2019,9910
LaRioja,85-89 años,2019,7943
LaRioja,90-94 años,2019,3681
LaRioja,95-99 años,2019,1016
LaRioja,100 años y más,2019,105
Ceuta,0-4 años,2019,5213
