age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,30.04.2020,694,234,0.3,31,0.4,2,0.0,0.3,694,234,0.3,31,0.4,2,0.0,0.3,694,234,0.3,31,0.4,2,0.0,0.3
10-19,30.04.2020,1258,239,0.3,18,0.2,5,0.0,0.4,1258,239,0.3,18,0.2,5,0.0,0.4,1258,239,0.3,18,0.2,5,0.0,0.4
20-29,30.04.2020,11540,1348,1.6,86,1.2,22,0.1,0.2,11540,1348,1.6,86,1.2,22,0.1,0.2,11540,1348,1.6,86,1.2,22,0.1,0.2
30-39,30.04.2020,19558,3466,4.1,249,3.4,55,0.3,0.3,19558,3466,4.1,249,3.4,55,0.3,0.3,19558,3466,4.1,249,3.4,55,0.3,0.3
40-49,30.04.2020,30572,8127,9.6,700,9.5,174,1.1,0.6,30572,8127,9.6,700,9.5,174,1.1,0.6,30572,8127,9.6,700,9.5,174,1.1,0.6
50-59,30.04.2020,37555,13210,15.5,1449,19.7,523,3.2,1.4,37555,13210,15.5,1449,19.7,523,3.2,1.4,37555,13210,15.5,1449,19.7,523,3.2,1.4
60-69,30.04.2020,30930,16380,19.3,2349,32.0,1445,8.7,4.7,30930,16380,19.3,2349,32.0,1445,8.7,4.7,30930,16380,19.3,2349,32.0,1445,8.7,4.7
70-79,30.04.2020,29979,19690,23.2,2106,28.7,4119,24.9,13.7,29979,19690,23.2,2106,28.7,4119,24.9,13.7,29979,19690,23.2,2106,28.7,4119,24.9,13.7
80-89,30.04.2020,33041,16997,20.0,309,4.2,6876,41.6,20.8,33041,16997,20.0,309,4.2,6876,41.6,20.8,33041,16997,20.0,309,4.2,6876,41.6,20.8
90+,30.04.2020,15279,5325,6.3,43,0.6,3296,20.0,21.6,15279,5325,6.3,43,0.6,3296,20.0,21.6,15279,5325,6.3,43,0.6,3296,20.0,21.6
