age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,23.04.2020,502,191,0.3,26,0.4,2,0.0,0.4,502,191,0.3,26,0.4,2,0.0,0.4,502,191,0.3,26,0.4,2,0.0,0.4
10-19,23.04.2020,869,189,0.3,13,0.2,3,0.0,0.3,869,189,0.3,13,0.2,3,0.0,0.3,869,189,0.3,13,0.2,3,0.0,0.3
20-29,23.04.2020,7962,1110,1.6,68,1.1,25,0.2,0.3,7962,1110,1.6,68,1.1,25,0.2,0.3,7962,1110,1.6,68,1.1,25,0.2,0.3
30-39,23.04.2020,14304,2845,4.1,207,3.5,50,0.4,0.3,14304,2845,4.1,207,3.5,50,0.4,0.3,14304,2845,4.1,207,3.5,50,0.4,0.3
40-49,23.04.2020,22430,6570,9.5,560,9.4,138,1.1,0.6,22430,6570,9.5,560,9.4,138,1.1,0.6,22430,6570,9.5,560,9.4,138,1.1,0.6
50-59,23.04.2020,27795,10761,15.6,1161,19.5,400,3.1,1.4,27795,10761,15.6,1161,19.5,400,3.1,1.4,27795,10761,15.6,1161,19.5,400,3.1,1.4
60-69,23.04.2020,23595,13433,19.5,1894,31.8,1149,8.8,4.9,23595,13433,19.5,1894,31.8,1149,8.8,4.9,23595,13433,19.5,1894,31.8,1149,8.8,4.9
70-79,23.04.2020,22470,16021,23.3,1781,29.9,3374,25.8,15.0,22470,16021,23.3,1781,29.9,3374,25.8,15.0,22470,16021,23.3,1781,29.9,3374,25.8,15.0
80-89,23.04.2020,22832,13635,19.8,218,3.7,5491,42.0,24.0,22832,13635,19.8,218,3.7,5491,42.0,24.0,22832,13635,19.8,218,3.7,5491,42.0,24.0
90+,23.04.2020,9828,4085,5.9,28,0.5,2446,18.7,24.9,9828,4085,5.9,28,0.5,2446,18.7,24.9,9828,4085,5.9,28,0.5,2446,18.7,24.9
