age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,06.04.2020,250,79,0.2,7,0.2,1,0.0,0.4,250,79,0.2,7,0.2,1,0.0,0.4,250,79,0.2,7,0.2,1,0.0,0.4
10-19,06.04.2020,491,105,0.2,6,0.2,1,0.0,0.2,491,105,0.2,6,0.2,1,0.0,0.2,491,105,0.2,6,0.2,1,0.0,0.2
20-29,06.04.2020,4629,795,1.8,53,1.5,6,0.1,0.1,4629,795,1.8,53,1.5,6,0.1,0.1,4629,795,1.8,53,1.5,6,0.1,0.1
30-39,06.04.2020,8761,2019,4.6,136,3.9,20,0.4,0.2,8761,2019,4.6,136,3.9,20,0.4,0.2,8761,2019,4.6,136,3.9,20,0.4,0.2
40-49,06.04.2020,13421,4340,10.0,340,9.7,50,1.0,0.4,13421,4340,10.0,340,9.7,50,1.0,0.4,13421,4340,10.0,340,9.7,50,1.0,0.4
50-59,06.04.2020,16577,6840,15.7,643,18.4,147,3.0,0.9,16577,6840,15.7,643,18.4,147,3.0,0.9,16577,6840,15.7,643,18.4,147,3.0,0.9
60-69,06.04.2020,14933,8825,20.3,1080,31.0,419,8.5,2.8,14933,8825,20.3,1080,31.0,419,8.5,2.8,14933,8825,20.3,1080,31.0,419,8.5,2.8
70-79,06.04.2020,14300,10769,24.7,1094,31.4,1341,27.2,9.4,14300,10769,24.7,1094,31.4,1341,27.2,9.4,14300,10769,24.7,1094,31.4,1341,27.2,9.4
80-89,06.04.2020,11196,7790,17.9,115,3.3,2121,42.9,18.9,11196,7790,17.9,115,3.3,2121,42.9,18.9,11196,7790,17.9,115,3.3,2121,42.9,18.9
90+,06.04.2020,3632,1981,4.5,15,0.4,833,16.9,22.9,3632,1981,4.5,15,0.4,833,16.9,22.9,3632,1981,4.5,15,0.4,833,16.9,22.9
