age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,22.04.2020,492,189,0.3,25,0.4,2,0.0,0.4,492,189,0.3,25,0.4,2,0.0,0.4,492,189,0.3,25,0.4,2,0.0,0.4
10-19,22.04.2020,839,184,0.3,13,0.2,3,0.0,0.4,839,184,0.3,13,0.2,3,0.0,0.4,839,184,0.3,13,0.2,3,0.0,0.4
20-29,22.04.2020,7625,1087,1.6,68,1.2,24,0.2,0.3,7625,1087,1.6,68,1.2,24,0.2,0.3,7625,1087,1.6,68,1.2,24,0.2,0.3
30-39,22.04.2020,13857,2814,4.1,199,3.4,48,0.4,0.3,13857,2814,4.1,199,3.4,48,0.4,0.3,13857,2814,4.1,199,3.4,48,0.4,0.3
40-49,22.04.2020,21658,6497,9.5,555,9.5,138,1.1,0.6,21658,6497,9.5,555,9.5,138,1.1,0.6,21658,6497,9.5,555,9.5,138,1.1,0.6
50-59,22.04.2020,26971,10652,15.6,1133,19.3,388,3.1,1.4,26971,10652,15.6,1133,19.3,388,3.1,1.4,26971,10652,15.6,1133,19.3,388,3.1,1.4
60-69,22.04.2020,23105,13353,19.6,1874,32.0,1119,8.9,4.8,23105,13353,19.6,1874,32.0,1119,8.9,4.8,23105,13353,19.6,1874,32.0,1119,8.9,4.8
70-79,22.04.2020,22101,15984,23.5,1748,29.8,3278,25.9,14.8,22101,15984,23.5,1748,29.8,3278,25.9,14.8,22101,15984,23.5,1748,29.8,3278,25.9,14.8
80-89,22.04.2020,22067,13390,19.7,215,3.7,5306,42.0,24.0,22067,13390,19.7,215,3.7,5306,42.0,24.0,22067,13390,19.7,215,3.7,5306,42.0,24.0
90+,22.04.2020,9398,3971,5.8,27,0.5,2328,18.4,24.8,9398,3971,5.8,27,0.5,2328,18.4,24.8,9398,3971,5.8,27,0.5,2328,18.4,24.8
