age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,16.04.2020,423,151,0.3,19,0.4,1,0.0,0.2,423,151,0.3,19,0.4,1,0.0,0.2,423,151,0.3,19,0.4,1,0.0,0.2
10-19,16.04.2020,734,143,0.2,7,0.1,2,0.0,0.3,734,143,0.2,7,0.1,2,0.0,0.3,734,143,0.2,7,0.1,2,0.0,0.3
20-29,16.04.2020,6763,958,1.6,54,1.1,19,0.2,0.3,6763,958,1.6,54,1.1,19,0.2,0.3,6763,958,1.6,54,1.1,19,0.2,0.3
30-39,16.04.2020,12466,2490,4.1,176,3.5,37,0.3,0.3,12466,2490,4.1,176,3.5,37,0.3,0.3,12466,2490,4.1,176,3.5,37,0.3,0.3
40-49,16.04.2020,19536,5737,9.5,452,8.9,116,1.1,0.6,19536,5737,9.5,452,8.9,116,1.1,0.6,19536,5737,9.5,452,8.9,116,1.1,0.6
50-59,16.04.2020,24471,9408,15.6,990,19.5,312,2.9,1.3,24471,9408,15.6,990,19.5,312,2.9,1.3,24471,9408,15.6,990,19.5,312,2.9,1.3
60-69,16.04.2020,21249,12033,20.0,1644,32.4,958,8.9,4.5,21249,12033,20.0,1644,32.4,958,8.9,4.5,21249,12033,20.0,1644,32.4,958,8.9,4.5
70-79,16.04.2020,20287,14406,23.9,1546,30.5,2868,26.6,14.1,20287,14406,23.9,1546,30.5,2868,26.6,14.1,20287,14406,23.9,1546,30.5,2868,26.6,14.1
80-89,16.04.2020,19317,11684,19.4,169,3.3,4528,42.0,23.4,19317,11684,19.4,169,3.3,4528,42.0,23.4,19317,11684,19.4,169,3.3,4528,42.0,23.4
90+,16.04.2020,7836,3282,5.4,17,0.3,1952,18.1,24.9,7836,3282,5.4,17,0.3,1952,18.1,24.9,7836,3282,5.4,17,0.3,1952,18.1,24.9
