age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,28.04.2020,660,229,0.3,31,0.4,2,0.0,0.3,660,229,0.3,31,0.4,2,0.0,0.3,660,229,0.3,31,0.4,2,0.0,0.3
10-19,28.04.2020,1206,235,0.3,17,0.2,4,0.0,0.3,1206,235,0.3,17,0.2,4,0.0,0.3,1206,235,0.3,17,0.2,4,0.0,0.3
20-29,28.04.2020,11138,1324,1.6,83,1.1,22,0.1,0.2,11138,1324,1.6,83,1.1,22,0.1,0.2,11138,1324,1.6,83,1.1,22,0.1,0.2
30-39,28.04.2020,18924,3429,4.1,250,3.5,55,0.3,0.3,18924,3429,4.1,250,3.5,55,0.3,0.3,18924,3429,4.1,250,3.5,55,0.3,0.3
40-49,28.04.2020,29629,8048,9.6,694,9.6,172,1.1,0.6,29629,8048,9.6,694,9.6,172,1.1,0.6,29629,8048,9.6,694,9.6,172,1.1,0.6
50-59,28.04.2020,36423,13049,15.6,1435,19.9,497,3.1,1.4,36423,13049,15.6,1435,19.9,497,3.1,1.4,36423,13049,15.6,1435,19.9,497,3.1,1.4
60-69,28.04.2020,30361,16241,19.4,2320,32.1,1387,8.7,4.6,30361,16241,19.4,2320,32.1,1387,8.7,4.6,30361,16241,19.4,2320,32.1,1387,8.7,4.6
70-79,28.04.2020,29550,19451,23.2,2069,28.6,4012,25.3,13.6,29550,19451,23.2,2069,28.6,4012,25.3,13.6,29550,19451,23.2,2069,28.6,4012,25.3,13.6
80-89,28.04.2020,32198,16602,19.8,292,4.0,6621,41.8,20.6,32198,16602,19.8,292,4.0,6621,41.8,20.6,32198,16602,19.8,292,4.0,6621,41.8,20.6
90+,28.04.2020,14777,5112,6.1,38,0.5,3081,19.4,20.8,14777,5112,6.1,38,0.5,3081,19.4,20.8,14777,5112,6.1,38,0.5,3081,19.4,20.8
