age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,07.05.2020,765,253,0.3,36,0.5,2,0.0,0.3,765,253,0.3,36,0.5,2,0.0,0.3,765,253,0.3,36,0.5,2,0.0,0.3
10-19,07.05.2020,1398,255,0.3,20,0.3,5,0.0,0.4,1398,255,0.3,20,0.3,5,0.0,0.4,1398,255,0.3,20,0.3,5,0.0,0.4
20-29,07.05.2020,12321,1399,1.6,87,1.1,21,0.1,0.2,12321,1399,1.6,87,1.1,21,0.1,0.2,12321,1399,1.6,87,1.1,21,0.1,0.2
30-39,07.05.2020,20759,3609,4.1,256,3.4,57,0.3,0.3,20759,3609,4.1,256,3.4,57,0.3,0.3,20759,3609,4.1,256,3.4,57,0.3,0.3
40-49,07.05.2020,32239,8343,9.5,715,9.4,185,1.1,0.6,32239,8343,9.5,715,9.4,185,1.1,0.6,32239,8343,9.5,715,9.4,185,1.1,0.6
50-59,07.05.2020,39418,13588,15.5,1498,19.8,569,3.3,1.4,39418,13588,15.5,1498,19.8,569,3.3,1.4,39418,13588,15.5,1498,19.8,569,3.3,1.4
60-69,07.05.2020,32226,16782,19.1,2423,32.0,1541,8.8,4.8,32226,16782,19.1,2423,32.0,1541,8.8,4.8,32226,16782,19.1,2423,32.0,1541,8.8,4.8
70-79,07.05.2020,30861,20231,23.0,2173,28.7,4320,24.7,14.0,30861,20231,23.0,2173,28.7,4320,24.7,14.0,30861,20231,23.0,2173,28.7,4320,24.7,14.0
80-89,07.05.2020,34365,17730,20.2,315,4.2,7195,41.2,20.9,34365,17730,20.2,315,4.2,7195,41.2,20.9,34365,17730,20.2,315,4.2,7195,41.2,20.9
90+,07.05.2020,16092,5739,6.5,46,0.6,3565,20.4,22.2,16092,5739,6.5,46,0.6,3565,20.4,22.2,16092,5739,6.5,46,0.6,3565,20.4,22.2
