age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,09.04.2020,285,87,0.2,7,0.2,1,0.0,0.4,285,87,0.2,7,0.2,1,0.0,0.4,285,87,0.2,7,0.2,1,0.0,0.4
10-19,09.04.2020,588,118,0.2,5,0.1,1,0.0,0.2,588,118,0.2,5,0.1,1,0.0,0.2,588,118,0.2,5,0.1,1,0.0,0.2
20-29,09.04.2020,5381,828,1.6,53,1.2,11,0.2,0.2,5381,828,1.6,53,1.2,11,0.2,0.2,5381,828,1.6,53,1.2,11,0.2,0.2
30-39,09.04.2020,10341,2204,4.3,160,3.5,24,0.4,0.2,10341,2204,4.3,160,3.5,24,0.4,0.2,10341,2204,4.3,160,3.5,24,0.4,0.2
40-49,09.04.2020,16088,4964,9.7,402,8.8,61,0.9,0.4,16088,4964,9.7,402,8.8,61,0.9,0.4,16088,4964,9.7,402,8.8,61,0.9,0.4
50-59,09.04.2020,19836,8006,15.6,877,19.1,197,2.9,1.0,19836,8006,15.6,877,19.1,197,2.9,1.0,19836,8006,15.6,877,19.1,197,2.9,1.0
60-69,09.04.2020,17713,10377,20.3,1456,31.8,597,8.9,3.4,17713,10377,20.3,1456,31.8,597,8.9,3.4,17713,10377,20.3,1456,31.8,597,8.9,3.4
70-79,09.04.2020,16957,12588,24.6,1457,31.8,1773,26.3,10.5,16957,12588,24.6,1457,31.8,1773,26.3,10.5,16957,12588,24.6,1457,31.8,1773,26.3,10.5
80-89,09.04.2020,14218,9523,18.6,150,3.3,2864,42.6,20.1,14218,9523,18.6,150,3.3,2864,42.6,20.1,14218,9523,18.6,150,3.3,2864,42.6,20.1
90+,09.04.2020,5040,2527,4.9,17,0.4,1200,17.8,23.8,5040,2527,4.9,17,0.4,1200,17.8,23.8,5040,2527,4.9,17,0.4,1200,17.8,23.8
