age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,13.05.2020,857,275,0.3,39,0.5,2,0.0,0.2,857,275,0.3,39,0.5,2,0.0,0.2,857,275,0.3,39,0.5,2,0.0,0.2
10-19,13.05.2020,1591,274,0.3,23,0.3,5,0.0,0.3,1591,274,0.3,23,0.3,5,0.0,0.3,1591,274,0.3,23,0.3,5,0.0,0.3
20-29,13.05.2020,13311,1463,1.6,89,1.1,23,0.1,0.2,13311,1463,1.6,89,1.1,23,0.1,0.2,13311,1463,1.6,89,1.1,23,0.1,0.2
30-39,13.05.2020,22428,3779,4.1,266,3.4,61,0.3,0.3,22428,3779,4.1,266,3.4,61,0.3,0.3,22428,3779,4.1,266,3.4,61,0.3,0.3
40-49,13.05.2020,34808,8666,9.4,739,9.4,200,1.1,0.6,34808,8666,9.4,739,9.4,200,1.1,0.6,34808,8666,9.4,739,9.4,200,1.1,0.6
50-59,13.05.2020,42512,14099,15.4,1548,19.7,607,3.2,1.4,42512,14099,15.4,1548,19.7,607,3.2,1.4,42512,14099,15.4,1548,19.7,607,3.2,1.4
60-69,13.05.2020,34188,17322,18.9,2535,32.2,1672,8.9,4.9,34188,17322,18.9,2535,32.2,1672,8.9,4.9,34188,17322,18.9,2535,32.2,1672,8.9,4.9
70-79,13.05.2020,32326,20878,22.8,2255,28.7,4555,24.2,14.1,32326,20878,22.8,2255,28.7,4555,24.2,14.1,32326,20878,22.8,2255,28.7,4555,24.2,14.1
80-89,13.05.2020,37269,18721,20.4,324,4.1,7736,41.0,20.8,37269,18721,20.4,324,4.1,7736,41.0,20.8,37269,18721,20.4,324,4.1,7736,41.0,20.8
90+,13.05.2020,18145,6233,6.8,48,0.6,3985,21.1,22.0,18145,6233,6.8,48,0.6,3985,21.1,22.0,18145,6233,6.8,48,0.6,3985,21.1,22.0
