age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,10.05.2020,817,264,0.3,36,0.5,2,0.0,0.2,817,264,0.3,36,0.5,2,0.0,0.2,817,264,0.3,36,0.5,2,0.0,0.2
10-19,10.05.2020,1511,264,0.3,21,0.3,5,0.0,0.3,1511,264,0.3,21,0.3,5,0.0,0.3,1511,264,0.3,21,0.3,5,0.0,0.3
20-29,10.05.2020,12927,1437,1.6,87,1.1,22,0.1,0.2,12927,1437,1.6,87,1.1,22,0.1,0.2,12927,1437,1.6,87,1.1,22,0.1,0.2
30-39,10.05.2020,21784,3707,4.1,262,3.4,58,0.3,0.3,21784,3707,4.1,262,3.4,58,0.3,0.3,21784,3707,4.1,262,3.4,58,0.3,0.3
40-49,10.05.2020,33801,8530,9.4,728,9.4,190,1.0,0.6,33801,8530,9.4,728,9.4,190,1.0,0.6,33801,8530,9.4,728,9.4,190,1.0,0.6
50-59,10.05.2020,41417,13896,15.4,1519,19.7,587,3.2,1.4,41417,13896,15.4,1519,19.7,587,3.2,1.4,41417,13896,15.4,1519,19.7,587,3.2,1.4
60-69,10.05.2020,33530,17117,18.9,2475,32.1,1608,8.7,4.8,33530,17117,18.9,2475,32.1,1608,8.7,4.8,33530,17117,18.9,2475,32.1,1608,8.7,4.8
70-79,10.05.2020,31962,20644,22.9,2213,28.7,4462,24.2,14.0,31962,20644,22.9,2213,28.7,4462,24.2,14.0,31962,20644,22.9,2213,28.7,4462,24.2,14.0
80-89,10.05.2020,36633,18376,20.3,321,4.2,7585,41.2,20.7,36633,18376,20.3,321,4.2,7585,41.2,20.7,36633,18376,20.3,321,4.2,7585,41.2,20.7
90+,10.05.2020,17716,6098,6.8,47,0.6,3902,21.2,22.0,17716,6098,6.8,47,0.6,3902,21.2,22.0,17716,6098,6.8,47,0.6,3902,21.2,22.0
