age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,13.04.2020,396,154,0.3,20,0.4,1,0.0,0.3,396,154,0.3,20,0.4,1,0.0,0.3,396,154,0.3,20,0.4,1,0.0,0.3
10-19,13.04.2020,647,129,0.2,5,0.1,1,0.0,0.2,647,129,0.2,5,0.1,1,0.0,0.2,647,129,0.2,5,0.1,1,0.0,0.2
20-29,13.04.2020,6137,914,1.6,53,1.1,17,0.2,0.3,6137,914,1.6,53,1.1,17,0.2,0.3,6137,914,1.6,53,1.1,17,0.2,0.3
30-39,13.04.2020,11484,2409,4.2,170,3.5,35,0.4,0.3,11484,2409,4.2,170,3.5,35,0.4,0.3,11484,2409,4.2,170,3.5,35,0.4,0.3
40-49,13.04.2020,17962,5500,9.7,424,8.7,109,1.1,0.6,17962,5500,9.7,424,8.7,109,1.1,0.6,17962,5500,9.7,424,8.7,109,1.1,0.6
50-59,13.04.2020,22336,8933,15.7,938,19.3,281,3.0,1.3,22336,8933,15.7,938,19.3,281,3.0,1.3,22336,8933,15.7,938,19.3,281,3.0,1.3
60-69,13.04.2020,19747,11469,20.1,1563,32.1,873,9.2,4.4,19747,11469,20.1,1563,32.1,873,9.2,4.4,19747,11469,20.1,1563,32.1,873,9.2,4.4
70-79,13.04.2020,18716,13726,24.1,1519,31.2,2607,27.5,13.9,18716,13726,24.1,1519,31.2,2607,27.5,13.9,18716,13726,24.1,1519,31.2,2607,27.5,13.9
80-89,13.04.2020,16468,10762,18.9,160,3.3,3969,41.9,24.1,16468,10762,18.9,160,3.3,3969,41.9,24.1,16468,10762,18.9,160,3.3,3969,41.9,24.1
90+,13.04.2020,6101,2976,5.2,16,0.3,1589,16.8,26.0,6101,2976,5.2,16,0.3,1589,16.8,26.0,6101,2976,5.2,16,0.3,1589,16.8,26.0
