age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,07.04.2020,247,77,0.2,6,0.2,1,0.0,0.4,247,77,0.2,6,0.2,1,0.0,0.4,247,77,0.2,6,0.2,1,0.0,0.4
10-19,07.04.2020,489,100,0.2,4,0.1,1,0.0,0.2,489,100,0.2,4,0.1,1,0.0,0.2,489,100,0.2,4,0.1,1,0.0,0.2
20-29,07.04.2020,4604,755,1.7,44,1.3,7,0.1,0.2,4604,755,1.7,44,1.3,7,0.1,0.2,4604,755,1.7,44,1.3,7,0.1,0.2
30-39,07.04.2020,8745,1953,4.5,125,3.6,20,0.4,0.2,8745,1953,4.5,125,3.6,20,0.4,0.2,8745,1953,4.5,125,3.6,20,0.4,0.2
40-49,07.04.2020,13411,4289,9.8,326,9.4,50,1.0,0.4,13411,4289,9.8,326,9.4,50,1.0,0.4,13411,4289,9.8,326,9.4,50,1.0,0.4
50-59,07.04.2020,16569,6828,15.7,645,18.5,147,3.0,0.9,16569,6828,15.7,645,18.5,147,3.0,0.9,16569,6828,15.7,645,18.5,147,3.0,0.9
60-69,07.04.2020,14935,8868,20.4,1095,31.5,420,8.4,2.8,14935,8868,20.4,1095,31.5,420,8.4,2.8,14935,8868,20.4,1095,31.5,420,8.4,2.8
70-79,07.04.2020,14295,10830,24.9,1107,31.8,1353,27.2,9.5,14295,10830,24.9,1107,31.8,1353,27.2,9.5,14295,10830,24.9,1107,31.8,1353,27.2,9.5
80-89,07.04.2020,11204,7857,18.0,115,3.3,2135,42.9,19.1,11204,7857,18.0,115,3.3,2135,42.9,19.1,11204,7857,18.0,115,3.3,2135,42.9,19.1
90+,07.04.2020,3645,1995,4.6,12,0.3,844,17.0,23.2,3645,1995,4.6,12,0.3,844,17.0,23.2,3645,1995,4.6,12,0.3,844,17.0,23.2
