age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,26.04.2020,634,213,0.3,28,0.4,2,0.0,0.3,634,213,0.3,28,0.4,2,0.0,0.3,634,213,0.3,28,0.4,2,0.0,0.3
10-19,26.04.2020,1129,216,0.3,17,0.2,4,0.0,0.4,1129,216,0.3,17,0.2,4,0.0,0.4,1129,216,0.3,17,0.2,4,0.0,0.4
20-29,26.04.2020,10556,1239,1.6,78,1.1,28,0.2,0.3,10556,1239,1.6,78,1.1,28,0.2,0.3,10556,1239,1.6,78,1.1,28,0.2,0.3
30-39,26.04.2020,17976,3214,4.1,240,3.5,54,0.4,0.3,17976,3214,4.1,240,3.5,54,0.4,0.3,17976,3214,4.1,240,3.5,54,0.4,0.3
40-49,26.04.2020,28198,7600,9.6,661,9.6,155,1.1,0.5,28198,7600,9.6,661,9.6,155,1.1,0.5,28198,7600,9.6,661,9.6,155,1.1,0.5
50-59,26.04.2020,34610,12338,15.6,1350,19.6,455,3.1,1.3,34610,12338,15.6,1350,19.6,455,3.1,1.3,34610,12338,15.6,1350,19.6,455,3.1,1.3
60-69,26.04.2020,29230,15427,19.6,2201,32.0,1288,8.8,4.4,29230,15427,19.6,2201,32.0,1288,8.8,4.4,29230,15427,19.6,2201,32.0,1288,8.8,4.4
70-79,26.04.2020,28499,18577,23.5,2004,29.1,3763,25.7,13.2,28499,18577,23.5,2004,29.1,3763,25.7,13.2,28499,18577,23.5,2004,29.1,3763,25.7,13.2
80-89,26.04.2020,30335,15488,19.6,269,3.9,6151,41.9,20.3,30335,15488,19.6,269,3.9,6151,41.9,20.3,30335,15488,19.6,269,3.9,6151,41.9,20.3
90+,26.04.2020,13699,4593,5.8,31,0.5,2767,18.9,20.2,13699,4593,5.8,31,0.5,2767,18.9,20.2,13699,4593,5.8,31,0.5,2767,18.9,20.2
