age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,15.05.2020,876,279,0.3,39,0.5,2,0.0,0.2,876,279,0.3,39,0.5,2,0.0,0.2,876,279,0.3,39,0.5,2,0.0,0.2
10-19,15.05.2020,1626,276,0.3,23,0.3,5,0.0,0.3,1626,276,0.3,23,0.3,5,0.0,0.3,1626,276,0.3,23,0.3,5,0.0,0.3
20-29,15.05.2020,13453,1477,1.6,89,1.1,23,0.1,0.2,13453,1477,1.6,89,1.1,23,0.1,0.2,13453,1477,1.6,89,1.1,23,0.1,0.2
30-39,15.05.2020,22669,3810,4.2,273,3.5,62,0.3,0.3,22669,3810,4.2,273,3.5,62,0.3,0.3,22669,3810,4.2,273,3.5,62,0.3,0.3
40-49,15.05.2020,35192,8660,9.4,741,9.4,201,1.0,0.6,35192,8660,9.4,741,9.4,201,1.0,0.6,35192,8660,9.4,741,9.4,201,1.0,0.6
50-59,15.05.2020,42909,14066,15.3,1561,19.7,611,3.2,1.4,42909,14066,15.3,1561,19.7,611,3.2,1.4,42909,14066,15.3,1561,19.7,611,3.2,1.4
60-69,15.05.2020,34403,17256,18.8,2532,32.0,1694,8.8,4.9,34403,17256,18.8,2532,32.0,1694,8.8,4.9,34403,17256,18.8,2532,32.0,1694,8.8,4.9
70-79,15.05.2020,32415,20779,22.6,2260,28.6,4630,24.1,14.3,32415,20779,22.6,2260,28.6,4630,24.1,14.3,32415,20779,22.6,2260,28.6,4630,24.1,14.3
80-89,15.05.2020,37426,18833,20.5,332,4.2,7867,41.0,21.0,37426,18833,20.5,332,4.2,7867,41.0,21.0,37426,18833,20.5,332,4.2,7867,41.0,21.0
90+,15.05.2020,18294,6340,6.9,56,0.7,4077,21.3,22.3,18294,6340,6.9,56,0.7,4077,21.3,22.3,18294,6340,6.9,56,0.7,4077,21.3,22.3
