age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,06.05.2020,738,247,0.3,36,0.5,2,0.0,0.3,738,247,0.3,36,0.5,2,0.0,0.3,738,247,0.3,36,0.5,2,0.0,0.3
10-19,06.05.2020,1331,253,0.3,19,0.3,5,0.0,0.4,1331,253,0.3,19,0.3,5,0.0,0.4,1331,253,0.3,19,0.3,5,0.0,0.4
20-29,06.05.2020,12067,1389,1.6,87,1.2,22,0.1,0.2,12067,1389,1.6,87,1.2,22,0.1,0.2,12067,1389,1.6,87,1.2,22,0.1,0.2
30-39,06.05.2020,20386,3584,4.1,255,3.4,57,0.3,0.3,20386,3584,4.1,255,3.4,57,0.3,0.3,20386,3584,4.1,255,3.4,57,0.3,0.3
40-49,06.05.2020,31658,8318,9.5,717,9.5,183,1.1,0.6,31658,8318,9.5,717,9.5,183,1.1,0.6,31658,8318,9.5,717,9.5,183,1.1,0.6
50-59,06.05.2020,38792,13570,15.5,1495,19.8,567,3.3,1.5,38792,13570,15.5,1495,19.8,567,3.3,1.5,38792,13570,15.5,1495,19.8,567,3.3,1.5
60-69,06.05.2020,31805,16739,19.1,2424,32.1,1526,8.8,4.8,31805,16739,19.1,2424,32.1,1526,8.8,4.8,31805,16739,19.1,2424,32.1,1526,8.8,4.8
70-79,06.05.2020,30632,20159,23.0,2169,28.7,4273,24.8,13.9,30632,20159,23.0,2169,28.7,4273,24.8,13.9,30632,20159,23.0,2169,28.7,4273,24.8,13.9
80-89,06.05.2020,34032,17610,20.1,312,4.1,7117,41.3,20.9,34032,17610,20.1,312,4.1,7117,41.3,20.9,34032,17610,20.1,312,4.1,7117,41.3,20.9
90+,06.05.2020,15934,5699,6.5,46,0.6,3496,20.3,21.9,15934,5699,6.5,46,0.6,3496,20.3,21.9,15934,5699,6.5,46,0.6,3496,20.3,21.9
