age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,29.04.2020,670,231,0.3,31,0.4,2,0.0,0.3,670,231,0.3,31,0.4,2,0.0,0.3,670,231,0.3,31,0.4,2,0.0,0.3
10-19,29.04.2020,1219,239,0.3,17,0.2,4,0.0,0.3,1219,239,0.3,17,0.2,4,0.0,0.3,1219,239,0.3,17,0.2,4,0.0,0.3
20-29,29.04.2020,11162,1332,1.6,84,1.2,22,0.1,0.2,11162,1332,1.6,84,1.2,22,0.1,0.2,11162,1332,1.6,84,1.2,22,0.1,0.2
30-39,29.04.2020,18975,3438,4.1,250,3.5,55,0.3,0.3,18975,3438,4.1,250,3.5,55,0.3,0.3,18975,3438,4.1,250,3.5,55,0.3,0.3
40-49,29.04.2020,29680,8081,9.6,694,9.6,172,1.1,0.6,29680,8081,9.6,694,9.6,172,1.1,0.6,29680,8081,9.6,694,9.6,172,1.1,0.6
50-59,29.04.2020,36480,13078,15.6,1437,19.8,499,3.1,1.4,36480,13078,15.6,1437,19.8,499,3.1,1.4,36480,13078,15.6,1437,19.8,499,3.1,1.4
60-69,29.04.2020,30393,16267,19.4,2325,32.1,1393,8.7,4.6,30393,16267,19.4,2325,32.1,1393,8.7,4.6,30393,16267,19.4,2325,32.1,1393,8.7,4.6
70-79,29.04.2020,29564,19486,23.2,2074,28.6,4024,25.2,13.6,29564,19486,23.2,2074,28.6,4024,25.2,13.6,29564,19486,23.2,2074,28.6,4024,25.2,13.6
80-89,29.04.2020,32173,16647,19.8,295,4.1,6661,41.7,20.7,32173,16647,19.8,295,4.1,6661,41.7,20.7,32173,16647,19.8,295,4.1,6661,41.7,20.7
90+,29.04.2020,14769,5133,6.1,38,0.5,3124,19.6,21.2,14769,5133,6.1,38,0.5,3124,19.6,21.2,14769,5133,6.1,38,0.5,3124,19.6,21.2
