age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,19.04.2020,451,167,0.3,21,0.4,2,0.0,0.4,451,167,0.3,21,0.4,2,0.0,0.4,451,167,0.3,21,0.4,2,0.0,0.4
10-19,19.04.2020,768,162,0.3,10,0.2,3,0.0,0.4,768,162,0.3,10,0.2,3,0.0,0.4,768,162,0.3,10,0.2,3,0.0,0.4
20-29,19.04.2020,6996,1007,1.6,59,1.0,22,0.2,0.3,6996,1007,1.6,59,1.0,22,0.2,0.3,6996,1007,1.6,59,1.0,22,0.2,0.3
30-39,19.04.2020,12904,2634,4.1,192,3.4,46,0.4,0.4,12904,2634,4.1,192,3.4,46,0.4,0.4,12904,2634,4.1,192,3.4,46,0.4,0.4
40-49,19.04.2020,20201,6097,9.6,530,9.4,134,1.1,0.7,20201,6097,9.6,530,9.4,134,1.1,0.7,20201,6097,9.6,530,9.4,134,1.1,0.7
50-59,19.04.2020,25239,9913,15.6,1085,19.2,356,3.0,1.4,25239,9913,15.6,1085,19.2,356,3.0,1.4,25239,9913,15.6,1085,19.2,356,3.0,1.4
60-69,19.04.2020,21848,12655,19.9,1814,32.2,1067,9.1,4.9,21848,12655,19.9,1814,32.2,1067,9.1,4.9,21848,12655,19.9,1814,32.2,1067,9.1,4.9
70-79,19.04.2020,20909,15184,23.8,1704,30.2,3098,26.5,14.8,20909,15184,23.8,1704,30.2,3098,26.5,14.8,20909,15184,23.8,1704,30.2,3098,26.5,14.8
80-89,19.04.2020,20277,12386,19.4,203,3.6,4883,41.7,24.1,20277,12386,19.4,203,3.6,4883,41.7,24.1,20277,12386,19.4,203,3.6,4883,41.7,24.1
90+,19.04.2020,8343,3539,5.6,24,0.4,2095,17.9,25.1,8343,3539,5.6,24,0.4,2095,17.9,25.1,8343,3539,5.6,24,0.4,2095,17.9,25.1
