age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,25.04.2020,624,213,0.3,28,0.4,2,0.0,0.3,624,213,0.3,28,0.4,2,0.0,0.3,624,213,0.3,28,0.4,2,0.0,0.3
10-19,25.04.2020,1131,215,0.3,17,0.2,4,0.0,0.4,1131,215,0.3,17,0.2,4,0.0,0.4,1131,215,0.3,17,0.2,4,0.0,0.4
20-29,25.04.2020,10522,1243,1.6,78,1.1,28,0.2,0.3,10522,1243,1.6,78,1.1,28,0.2,0.3,10522,1243,1.6,78,1.1,28,0.2,0.3
30-39,25.04.2020,17936,3203,4.1,242,3.5,54,0.4,0.3,17936,3203,4.1,242,3.5,54,0.4,0.3,17936,3203,4.1,242,3.5,54,0.4,0.3
40-49,25.04.2020,28127,7560,9.6,661,9.6,155,1.1,0.6,28127,7560,9.6,661,9.6,155,1.1,0.6,28127,7560,9.6,661,9.6,155,1.1,0.6
50-59,25.04.2020,34494,12270,15.6,1353,19.7,455,3.1,1.3,34494,12270,15.6,1353,19.7,455,3.1,1.3,34494,12270,15.6,1353,19.7,455,3.1,1.3
60-69,25.04.2020,29156,15305,19.5,2189,31.9,1285,8.8,4.4,29156,15305,19.5,2189,31.9,1285,8.8,4.4,29156,15305,19.5,2189,31.9,1285,8.8,4.4
70-79,25.04.2020,28447,18409,23.5,2000,29.1,3751,25.6,13.2,28447,18409,23.5,2000,29.1,3751,25.6,13.2,28447,18409,23.5,2000,29.1,3751,25.6,13.2
80-89,25.04.2020,30236,15427,19.7,263,3.8,6144,42.0,20.3,30236,15427,19.7,263,3.8,6144,42.0,20.3,30236,15427,19.7,263,3.8,6144,42.0,20.3
90+,25.04.2020,13660,4585,5.8,32,0.5,2751,18.8,20.1,13660,4585,5.8,32,0.5,2751,18.8,20.1,13660,4585,5.8,32,0.5,2751,18.8,20.1
