age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,10.04.2020,288,88,0.2,7,0.2,1,0.0,0.3,288,88,0.2,7,0.2,1,0.0,0.3,288,88,0.2,7,0.2,1,0.0,0.3
10-19,10.04.2020,593,119,0.2,5,0.1,1,0.0,0.2,593,119,0.2,5,0.1,1,0.0,0.2,593,119,0.2,5,0.1,1,0.0,0.2
20-29,10.04.2020,5477,835,1.6,53,1.1,11,0.2,0.2,5477,835,1.6,53,1.1,11,0.2,0.2,5477,835,1.6,53,1.1,11,0.2,0.2
30-39,10.04.2020,10518,2222,4.3,162,3.5,24,0.3,0.2,10518,2222,4.3,162,3.5,24,0.3,0.2,10518,2222,4.3,162,3.5,24,0.3,0.2
40-49,10.04.2020,16451,5026,9.6,399,8.7,66,0.9,0.4,16451,5026,9.6,399,8.7,66,0.9,0.4,16451,5026,9.6,399,8.7,66,0.9,0.4
50-59,10.04.2020,20342,8152,15.6,890,19.3,206,2.9,1.0,20342,8152,15.6,890,19.3,206,2.9,1.0,20342,8152,15.6,890,19.3,206,2.9,1.0
60-69,10.04.2020,18095,10564,20.2,1462,31.7,624,8.8,3.4,18095,10564,20.2,1462,31.7,624,8.8,3.4,18095,10564,20.2,1462,31.7,624,8.8,3.4
70-79,10.04.2020,17297,12824,24.6,1464,31.8,1848,26.0,10.7,17297,12824,24.6,1464,31.8,1848,26.0,10.7,17297,12824,24.6,1464,31.8,1848,26.0,10.7
80-89,10.04.2020,14739,9784,18.7,150,3.3,3035,42.7,20.6,14739,9784,18.7,150,3.3,3035,42.7,20.6,14739,9784,18.7,150,3.3,3035,42.7,20.6
90+,10.04.2020,5346,2610,5.0,17,0.4,1290,18.2,24.1,5346,2610,5.0,17,0.4,1290,18.2,24.1,5346,2610,5.0,17,0.4,1290,18.2,24.1
